Civilization,Calendar System,Calendar Type,Start Date,End Date,Historical Period,Prosperity Score,Key Events,Relative Time Since T0 (years)
"Russian Empire","Gregorian","Solar",1917,1991,"Soviet Period",2,"October Revolution (1917), Stalin's Five-Year Plans (1928-1953), Space Race (1955-1975)",4603
"Russian Empire","Gregorian","Solar",1991,2024,"Modern Russia",1,"Dissolution of Soviet Union (1991), Yeltsin's presidency (1991-1999), Putin era (2000-present)",4677
"Polynesian","Lunar","Lunar",300,1100,"Settlement Phase",3,"Settlement of Easter Island (700-800), Development of navigation techniques, Colonization of Hawaii (300-800)",2986
"Polynesian","Lunar","Lunar",1100,1800,"Expansion Phase",4,"Development of Polynesian cultures, Construction of Moai on Easter Island (1100-1680), European contact (18th century)",3786
"Polynesian","Gregorian","Solar",1800,2024,"Modern Period",2,"Christian missionaries arrive (early 19th century), Colonization by European powers, Independence movements (20th-21st centuries)",4486
"Mali Empire","Islamic","Lunar",1235,1670,"Imperial Period",4,"Reign of Mansa Musa (1312-1337), Timbuktu becomes center of Islamic learning, Trans-Saharan trade flourishes",3921
"Mongol Empire","Traditional Mongolian","Lunisolar",1206,1368,"Imperial Period",5,"Genghis Khan unites Mongol tribes (1206), Conquest of China (1271), Establishment of Silk Road trade network",3892
"Viking Age","Norse","Solar",793,1066,"Expansion Period",3,"Raid on Lindisfarne (793), Settlement of Iceland (874), Battle of Stamford Bridge (1066)",3479
"Austro-Hungarian Empire","Gregorian","Solar",1867,1918,"Dual Monarchy",3,"Austro-Hungarian Compromise (1867), Annexation of Bosnia and Herzegovina (1908), Assassination of Archduke Franz Ferdinand (1914)",4553
"United States","Gregorian","Solar",1776,2024,"Modern Period",5,"Declaration of Independence (1776), Civil War (1861-1865), World War II (1941-1945), Moon landing (1969)",4462
"Khazar Empire","Jewish/Turkic","Lunisolar",650,1048,"Khazar Khaganate",4,"Conversion to Judaism (740-800), Battle of Itil (737), Defeat by Kievan Rus' (965-969)",3336
"Roman Empire","Roman Republican","Solar",-509,-27,"Roman Republic",4,"Founding of the Roman Republic (-509), Punic Wars (-264 to -146), Assassination of Julius Caesar (-44)",2177
"Roman Empire","Julian","Solar",-27,14,"Augustan Age",5,"Octavian becomes Augustus (-27), Pax Romana begins, Golden Age of Latin literature",2659
"Roman Empire","Julian","Solar",14,180,"Pax Romana",5,"Reign of the Five Good Emperors (96-180), Construction of Hadrian's Wall (122), Peak of Roman territorial extent",2700
"Roman Empire","Julian","Solar",180,284,"Crisis of the Third Century",-2,"Year of the Five Emperors (193), Plague of Cyprian (249-262), Division of the Empire (285)",2866
"Roman Empire","Julian","Solar",284,476,"Late Empire",1,"Diocletian's reforms (284-305), Constantine's conversion to Christianity (312), Fall of the Western Roman Empire (476)",2970
"Roman Empire (Byzantine)","Julian/Gregorian","Solar",476,1453,"Byzantine Empire",3,"Justinian's reconquest (533-554), Islamic conquests (7th century), Fall of Constantinople (1453)",3162
"Carthaginian Empire","Phoenician","Lunisolar",-814,-146,"Punic Period",4,"Founding of Carthage (-814), Sicilian Wars (-480 to -307), Punic Wars (-264 to -146)",1872
"Seleucid Empire","Seleucid Era","Lunisolar",-312,-63,"Hellenistic Period",3,"Battle of Ipsus (-301), Reign of Antiochus III (-223 to -187), Roman conquest of Syria (-63)",2374
"Parthian Empire","Zoroastrian","Solar",-247,224,"Arsacid Dynasty",4,"Defeat of Seleucids (-238), Battle of Carrhae (-53), Wars with Rome (54-217 CE)",2439
"Gupta Empire","Hindu calendar","Lunisolar",320,550,"Golden Age",5,"Reign of Chandragupta I (320-335), Reign of Samudragupta (335-380), Scientific and artistic achievements",3006
"Sasanian Empire","Zoroastrian","Solar",224,651,"Sasanian Era",4,"Battle of Hormizdagan (224), Reforms of Khosrow I (531-579), Muslim conquest of Persia (633-654)",2910
"Umayyad Caliphate","Islamic","Lunar",661,750,"Early Islamic Period",4,"Battle of Karbala (680), Conquest of Hispania (711-718), Siege of Constantinople (717-718)",3347
"Abbasid Caliphate","Islamic","Lunar",750,1258,"Islamic Golden Age",5,"Foundation of Baghdad (762), House of Wisdom established (830), Mongol sack of Baghdad (1258)",3436
"Tang Dynasty","Chinese","Lunisolar",618,907,"Imperial China",5,"Reign of Emperor Taizong (626-649), An Lushan Rebellion (755-763), Invention of gunpowder (9th century)",3304
"Song Dynasty","Chinese","Lunisolar",960,1279,"Imperial China",4,"Neo-Confucianism develops, Economic revolution, Invention of movable type printing (1040)",3646
"Toltec Empire","Mesoamerican","Solar",900,1150,"Classical Mesoamerica",3,"Founding of Tula (900), Reign of Ce Acatl Topiltzin Quetzalcoatl (980-1000), Collapse of Tula (1150)",3586
"Srivijaya Empire","Saka Era","Solar",650,1377,"Classical Southeast Asia",4,"Control of Strait of Malacca trade, Expansion into Java and Sumatra, Chola invasion (1025)",3336
"Ghana Empire","Traditional African","Solar",300,1100,"Medieval West Africa",3,"Trans-Saharan trade dominance, Introduction of Islam (1000), Almoravid conquest (1076)",2986
"Chola Empire","Tamil","Solar",848,1279,"Medieval India",4,"Naval expeditions to Southeast Asia (1025), Construction of Brihadeeswarar Temple (1010), Literary renaissance",3534
